,fc
A1BG,-0.789102597532936
A2M-AS1,-1.05648707499163
A4GALT,-0.561283368722351
AAAS,0.0839045644775694
AACS,0.74820785260537
AACSP1,-3.82433558577873
AADAT,0.0798048969102635
AAGAB,-0.317002294481555
AAK1,0.297351805204108
AAMDC,-0.00561303394482802
AAMP,-0.051298281597131
AAR2,-0.17862899655941
AARS1,-0.477983336455163
AARSD1,0.401795953482164
AASDH,-0.0758701623930519
AASDHPPT,-0.139712040251183
AASS,-1.32194442875037
AATF,-0.601015928389159
AATK,0.0672806563083681
ABALON,1.2622919265314
ABAT,-4.69922859718239
ABBA01000935.2,0.324392066532702
ABCA1,-0.567680462934737
ABCA13,0.903626872363254
ABCA17P,0.980027774726798
ABCA2,-0.38381046046565
ABCA3,0.366991980579648
ABCA5,-1.0436042632156
ABCA7,-0.583498641841149
ABCB10,0.377916055130198
ABCB6,0.968494967589737
ABCB7,-0.255158931131407
ABCB8,0.543172887800232
ABCB9,-0.413701925682169
ABCC1,0.193110003383189
ABCC10,-0.084529714626333
ABCC2,-0.157206323387727
ABCC3,0.327387914181057
ABCC4,0.428362240854717
ABCC5,0.857250620436952
ABCC6,-0.871670120157299
ABCC6P1,-1.0061624789729
ABCC6P2,0.141912129770181
ABCD1,-0.256878274559183
ABCD3,-0.0752160040205761
ABCD4,-0.599908220434151
ABCE1,-0.362206498802775
ABCF1,-0.132239326580263
ABCF2,-0.0417108144326186
ABCF3,-0.232618113286137
ABCG1,-1.23120766038671
ABCG2,-0.356153306643922
ABCG4,-0.699799143177887
ABHD1,-0.62483263342382
ABHD10,0.0822747366477636
ABHD11,0.586710192535837
ABHD11-AS1,-0.129624093203407
ABHD12,0.131909049563913
ABHD13,-0.0478010017105118
ABHD14A,-0.654350708329397
ABHD14A-ACY1,-23.8030697315821
ABHD14B,-0.0540847323780959
ABHD15,-0.543598686422867
ABHD15-AS1,-1.42262891342575
ABHD16A,-0.00143450808710437
ABHD17A,-0.26184142227426
ABHD17AP1,-0.214443286223774
ABHD17AP3,0.053771603211105
ABHD17AP4,-0.18447916199923
ABHD17AP5,-0.280224893475735
ABHD17AP6,-0.257473780008275
ABHD17B,0.255731046753674
ABHD17C,-0.437747616197158
ABHD18,-0.629701459456715
ABHD2,-0.652682373912856
ABHD3,-0.454925694416069
ABHD4,0.816825061566827
ABHD5,-0.0490074357497718
ABHD6,0.472459141037402
ABHD8,-0.149188815534085
ABI1,-0.297473039295489
ABI2,-0.26517196706308
ABI3,-6.81416641677007
ABITRAM,0.273262395422073
ABL1,-0.0387098706299555
ABL2,0.473803315206101
ABLIM1,-0.495646019818789
ABLIM2,-1.35477758474153
ABLIM3,0.429700227290813
ABO,0.864481392664019
ABR,0.511909285556759
ABRACL,0.0503745951205549
ABRAXAS1,-0.112579040738241
ABRAXAS2,-0.0827881637278158
ABT1,-0.298764553038332
ABTB1,-0.505171123015101
ABTB2,-0.0498952325455736
AC000072.1,-7.75137393767282
AC000078.1,-0.169331572329121
AC000089.1,-0.387437113585847
AC000093.1,-3.15797717758637
AC000095.3,-1.36014476489208
AC000120.4,0.180455383139126
AC000123.3,0.625148348024338
AC001226.2,-2.37090954066889
AC002056.1,0.439572953286885
AC002059.2,-4.11518058704645
AC002066.1,0.0912233102203878
AC002094.5,-0.437643523416794
AC002116.1,0.859578164010917
AC002116.2,1.42671820173184
AC002310.1,0.283701460393246
AC002310.4,0.152911280123527
AC002310.5,0.472392368497968
AC002350.1,1.01257442837672
AC002350.2,-2.02491542837335
AC002401.4,-0.236770979862588
AC002467.1,-0.253019390938718
AC002470.1,0.284026677779779
AC002472.2,-1.59754914296728
AC002480.1,-2.02486798592599
AC002519.2,-0.199744513651907
AC002524.1,-2.16881309702392
AC002550.2,0.079222755979426
AC002553.1,0.895988324325299
AC003005.1,-0.282155809461996
AC003006.1,0.590923435386214
AC003070.2,0.681859242512138
AC003086.1,-1.15601516911668
AC003101.2,-1.12445550950589
AC003102.1,-0.323775155691179
AC003681.1,-0.483872415274111
AC003957.1,1.05799032366012
AC003991.1,-2.64260287836484
AC004057.1,0.0679427596867311
AC004069.1,1.97187671263307
AC004076.1,0.600376685697201
AC004076.2,-0.223554242613149
AC004080.12,-0.601276310021261
AC004080.13,-0.607654950287778
AC004080.14,0.835410926093539
AC004080.15,-0.522735458394391
AC004080.6,1.39153793974637
AC004112.1,0.454869216502021
AC004158.1,-0.808003861116808
AC004221.1,-0.0878892763896847
AC004223.3,-1.57920670648772
